# {"t_start": 1665108357.6771305, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-196.88770862233133,100,3.035331,0.0,-196.88770862233133,0.0,0.0
-381.93119992963864,100,4.147833,0.0,-381.93119992963864,0.0,0.0
-240.10764346682774,100,5.260045,0.0,-240.10764346682774,0.0,0.0
-197.3734467034806,100,6.347275,0.0,-197.3734467034806,0.0,0.0
-353.2711158426108,100,7.437871,0.0,-353.2711158426108,0.0,0.0
-324.68452612689646,100,8.513261,0.0,-324.68452612689646,0.0,0.0
-451.635097822338,100,9.608774,0.0,-451.635097822338,0.0,0.0
-174.31241346255584,100,10.703232,0.0,-174.31241346255584,0.0,0.0
-258.8827228180969,100,11.80184,0.0,-258.8827228180969,0.0,0.0
-232.99849691790484,100,12.862279,0.0,-232.99849691790484,0.0,0.0
-238.68014530391207,100,51.438893,0.0,-238.68014530391207,0.0,0.0
-285.18698827208,100,52.321656,0.0,-285.18698827208,0.0,0.0
-285.80457733370383,100,53.334807,0.0,-285.80457733370383,0.0,0.0
-128.26247241106063,100,54.42593,0.0,-128.26247241106063,0.0,0.0
-230.32453834694223,100,55.519939,0.0,-230.32453834694223,0.0,0.0
-186.55036496787318,100,56.620023,0.0,-186.55036496787318,0.0,0.0
-206.12811867451018,100,57.707915,0.0,-206.12811867451018,0.0,0.0
-370.7066319675441,100,58.788199,0.0,-370.7066319675441,0.0,0.0
-458.99305811999227,100,59.886067,0.0,-458.99305811999227,0.0,0.0
-306.9177059953687,100,60.977756,0.0,-306.9177059953687,0.0,0.0
-154.7095638759124,100,90.484871,0.0,-154.7095638759124,0.0,0.0
-299.8369911967949,100,91.580287,0.0,-299.8369911967949,0.0,0.0
-184.37041442456712,100,92.670778,0.0,-184.37041442456712,0.0,0.0
-171.92432152091683,100,93.765207,0.0,-171.92432152091683,0.0,0.0
-189.20859261190427,100,94.859821,0.0,-189.20859261190427,0.0,0.0
-185.3293911805777,100,95.958756,0.0,-185.3293911805777,0.0,0.0
-243.80476223122528,100,97.046818,0.0,-243.80476223122528,0.0,0.0
-184.6090937912689,100,98.145499,0.0,-184.6090937912689,0.0,0.0
-321.7328804613255,100,99.247777,0.0,-321.7328804613255,0.0,0.0
-152.31261686756991,100,100.33507,0.0,-152.31261686756991,0.0,0.0
-299.20570045539597,100,129.853987,0.0,-295.20570045539597,-2.0,-2.0
-149.75537977634085,100,130.948567,0.0,-149.75537977634085,0.0,0.0
-190.3548895687005,100,132.046692,0.0,-190.3548895687005,0.0,0.0
-317.6289315520347,100,133.122973,0.0,-317.6289315520347,0.0,0.0
-215.59456304552904,100,134.22877,0.0,-215.59456304552904,0.0,0.0
