# {"t_start": 1665108357.551578, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-602.2517463195067,100,3.160701,0.0,-602.2517463195067,0.0,0.0
-249.92985629026245,100,4.274597,0.0,-249.92985629026245,0.0,0.0
-252.9247528781899,100,5.384236,0.0,-252.9247528781899,0.0,0.0
-182.5527335391821,100,6.472707,0.0,-182.5527335391821,0.0,0.0
-153.94509255310797,100,7.563153,0.0,-153.94509255310797,0.0,0.0
-338.58674944045606,100,8.640553,0.0,-338.58674944045606,0.0,0.0
-269.56758669890934,100,9.733873,0.0,-269.56758669890934,0.0,0.0
-154.73178410616885,100,10.82864,0.0,-154.73178410616885,0.0,0.0
-144.14039783473524,100,11.927196,0.0,-144.14039783473524,0.0,0.0
-375.5035711449772,100,12.98778,0.0,-375.5035711449772,0.0,0.0
-287.2481609421272,100,51.56398,0.0,-287.2481609421272,0.0,0.0
-452.2124637500836,100,52.447168,0.0,-452.2124637500836,0.0,0.0
-604.9194340522398,100,53.460241,0.0,-604.9194340522398,0.0,0.0
-132.0714096697667,100,54.549986,0.0,-132.0714096697667,0.0,0.0
-251.58029873850606,100,55.646552,0.0,-251.58029873850606,0.0,0.0
-339.15632287892186,100,56.745444,0.0,-339.15632287892186,0.0,0.0
-165.85089967637145,100,57.833227,0.0,-165.85089967637145,0.0,0.0
-352.92464584423897,100,58.913625,0.0,-352.92464584423897,0.0,0.0
-205.4518783924608,100,60.011371,0.0,-205.4518783924608,0.0,0.0
-262.36717504478565,100,61.104594,0.0,-262.36717504478565,0.0,0.0
-297.4687072543273,100,90.610175,0.0,-297.4687072543273,0.0,0.0
-366.8320344121149,100,91.705834,0.0,-366.8320344121149,0.0,0.0
-204.12366391263907,100,92.796245,0.0,-204.12366391263907,0.0,0.0
-271.3685337364906,100,93.890531,0.0,-271.3685337364906,0.0,0.0
-272.52228566600115,100,94.986344,0.0,-272.52228566600115,0.0,0.0
-153.88535302723068,100,96.084215,0.0,-153.88535302723068,0.0,0.0
-277.69015853011473,100,97.173507,0.0,-277.69015853011473,0.0,0.0
-232.7268599453101,100,98.270969,0.0,-232.7268599453101,0.0,0.0
-320.10866167292846,100,99.374377,0.0,-320.10866167292846,0.0,0.0
-175.513806395351,100,100.460477,0.0,-175.513806395351,0.0,0.0
-213.78709162131088,100,129.978328,0.0,-213.78709162131088,0.0,0.0
-302.25363508296607,100,131.075271,0.0,-302.25363508296607,0.0,0.0
-175.30070524042657,100,132.170876,0.0,-175.30070524042657,0.0,0.0
