# {"t_start": 1665108357.7072592, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-695.6224549993061,100,3.005357,0.0,-695.6224549993061,0.0,0.0
-127.70844645955825,100,4.117848,0.0,-127.70844645955825,0.0,0.0
-251.70882447533137,100,5.230072,0.0,-251.70882447533137,0.0,0.0
-211.71645445017944,100,6.317348,0.0,-211.71645445017944,0.0,0.0
-215.6891217983811,100,7.407876,0.0,-215.6891217983811,0.0,0.0
-288.7121069562748,100,8.48489,0.0,-288.7121069562748,0.0,0.0
-167.98271990141131,100,9.57864,0.0,-167.98271990141131,0.0,0.0
-225.9908841321206,100,10.673475,0.0,-225.9908841321206,0.0,0.0
-297.1544834379477,100,11.770604,0.0,-297.1544834379477,0.0,0.0
-376.483262319682,100,12.832187,0.0,-376.483262319682,0.0,0.0
-315.75553255279715,100,51.409672,0.0,-315.75553255279715,0.0,0.0
-189.68511937128028,100,52.292671,0.0,-189.68511937128028,0.0,0.0
-189.74620999189804,100,53.303289,0.0,-189.74620999189804,0.0,0.0
-181.1084927060515,100,54.395914,0.0,-181.1084927060515,0.0,0.0
-280.451586010005,100,55.491261,0.0,-280.451586010005,0.0,0.0
-184.67706363849123,100,56.590105,0.0,-182.67706363849123,0.0,-2.0
-333.0493474210962,100,57.677935,0.0,-333.0493474210962,0.0,0.0
-172.23516177664996,100,58.758183,0.0,-172.23516177664996,0.0,0.0
-202.44670202940213,100,59.856232,0.0,-200.44670202940213,-1.0,-1.0
-189.46400706561155,100,60.949086,0.0,-189.46400706561155,0.0,0.0
-211.4134780180125,100,90.455045,0.0,-211.4134780180125,0.0,0.0
-334.96514251185226,100,91.550298,0.0,-334.96514251185226,0.0,0.0
-193.2216815442884,100,92.640707,0.0,-193.2216815442884,0.0,0.0
-399.72571236273586,100,93.73497,0.0,-399.72571236273586,0.0,0.0
-254.40486641511464,100,94.831154,0.0,-254.40486641511464,0.0,0.0
-138.17058504651496,100,95.928694,0.0,-138.17058504651496,0.0,0.0
-282.62756936002006,100,97.017962,0.0,-282.62756936002006,0.0,0.0
-285.32952465673554,100,98.114254,0.0,-285.32952465673554,0.0,0.0
-249.5327155613955,100,99.217777,0.0,-249.5327155613955,0.0,0.0
-227.42922979928457,100,100.304942,0.0,-227.42922979928457,0.0,0.0
-297.75014957421814,100,129.824009,0.0,-297.75014957421814,0.0,0.0
-372.0845697978533,100,130.919734,0.0,-372.0845697978533,0.0,0.0
-311.4821005254021,100,132.016785,0.0,-311.4821005254021,0.0,0.0
-264.4115067627183,100,133.093113,0.0,-264.4115067627183,0.0,0.0
-220.02817553557512,100,134.198756,0.0,-220.02817553557512,0.0,0.0
-152.20963207727448,100,135.297187,0.0,-152.20963207727448,0.0,0.0
-247.46260690983365,100,136.396646,0.0,-247.46260690983365,0.0,0.0
-150.93451739237005,100,137.500873,0.0,-150.93451739237005,0.0,0.0
-234.13560206288557,100,138.593859,0.0,-234.13560206288557,0.0,0.0
-238.40538356904364,100,139.692276,0.0,-238.40538356904364,0.0,0.0
-254.24555522721516,100,169.163424,0.0,-254.24555522721516,0.0,0.0
-226.67038074993818,100,170.267304,0.0,-226.67038074993818,0.0,0.0
-220.90507558762573,100,171.363879,0.0,-220.90507558762573,0.0,0.0
-217.2676970187538,100,172.468699,0.0,-217.2676970187538,0.0,0.0
-192.95539034918565,100,173.56475,0.0,-192.95539034918565,0.0,0.0
-278.1905325348741,100,174.667512,0.0,-278.1905325348741,0.0,0.0
-321.3729193574842,100,175.770195,0.0,-321.3729193574842,0.0,0.0
-176.80015898633437,100,176.875061,0.0,-176.80015898633437,0.0,0.0
-286.17678954321036,100,177.982577,0.0,-286.17678954321036,0.0,0.0
-208.11610276299098,100,179.087651,0.0,-208.11610276299098,0.0,0.0
-120.28242620649888,100,208.650631,0.0,-120.28242620649888,0.0,0.0
-142.39858522204918,100,209.762294,0.0,-142.39858522204918,0.0,0.0
-192.85338009491818,100,210.865176,0.0,-192.85338009491818,0.0,0.0
-201.88347353877754,100,211.957711,0.0,-201.88347353877754,0.0,0.0
-221.03430618905298,100,213.053589,0.0,-221.03430618905298,0.0,0.0
-214.5527141696733,100,214.149449,0.0,-214.5527141696733,0.0,0.0
-114.93505743121123,100,215.242786,0.0,-114.93505743121123,0.0,0.0
-218.16252592494817,100,216.341156,0.0,-218.16252592494817,0.0,0.0
-234.52150083458824,100,217.420015,0.0,-234.52150083458824,0.0,0.0
-220.13951597415476,100,218.513475,0.0,-220.13951597415476,0.0,0.0
-221.00627034155073,100,248.058461,0.0,-221.00627034155073,0.0,0.0
-134.34289280364047,100,249.160516,0.0,-134.34289280364047,0.0,0.0
-235.4027658417971,100,250.274184,0.0,-235.4027658417971,0.0,0.0
-228.0997464022547,100,251.378583,0.0,-228.0997464022547,0.0,0.0
-158.2532458719003,100,252.473799,0.0,-158.2532458719003,0.0,0.0
-132.52063291025019,100,253.558323,0.0,-132.52063291025019,0.0,0.0
-128.85166204688142,100,254.65663,0.0,-128.85166204688142,0.0,0.0
-196.22197056089323,100,255.756501,0.0,-196.22197056089323,0.0,0.0
-211.5848694112605,100,256.860849,0.0,-211.5848694112605,0.0,0.0
-165.51613683683456,100,257.956739,0.0,-165.51613683683456,0.0,0.0
-189.6433688630438,100,287.562341,0.0,-189.6433688630438,0.0,0.0
-114.79786637730605,100,288.664609,0.0,-112.79786637730605,-1.0,-1.0
-147.86052943655943,100,289.754144,0.0,-147.86052943655943,0.0,0.0
-191.59078983818378,100,290.844855,0.0,-191.59078983818378,0.0,0.0
-259.538420381861,100,291.945755,0.0,-255.53842038186096,-2.0,-2.0
-257.7890609663704,100,293.044235,0.0,-257.7890609663704,0.0,0.0
-176.9150435229753,100,294.137833,0.0,-176.9150435229753,0.0,0.0
-250.74374043165773,100,295.244468,0.0,-250.74374043165773,0.0,0.0
-183.49251507046742,100,296.346975,0.0,-183.49251507046742,0.0,0.0
-199.16665594917544,100,297.431611,0.0,-199.16665594917544,0.0,0.0
-203.05429535487445,100,327.040651,0.0,-203.05429535487445,0.0,0.0
-180.54983484335472,100,328.136621,0.0,-180.54983484335472,0.0,0.0
-166.49262978262107,100,329.242472,0.0,-166.49262978262107,0.0,0.0
-141.13096942689089,100,330.340645,0.0,-141.13096942689089,0.0,0.0
-150.34132434322794,100,331.438181,0.0,-150.34132434322794,0.0,0.0
-103.89641618855627,100,332.527951,0.0,-103.89641618855627,0.0,0.0
-253.37294266450536,100,333.637408,0.0,-253.37294266450536,0.0,0.0
-174.97620224006158,100,334.74638,0.0,-172.97620224006158,-2.0,0.0
