# {"t_start": 1665108357.5901182, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-279.1885249045636,100,3.12247,0.0,-279.1885249045636,0.0,0.0
-406.18068462170896,100,4.235953,0.0,-406.18068462170896,0.0,0.0
-245.01112692668605,100,5.346941,0.0,-245.01112692668605,0.0,0.0
-187.24885133177932,100,6.434201,0.0,-187.24885133177932,0.0,0.0
-200.6750388940488,100,7.523594,0.0,-200.6750388940488,0.0,0.0
-194.26484344600314,100,8.601933,0.0,-194.26484344600314,0.0,0.0
-335.1840515952757,100,9.694243,0.0,-335.1840515952757,0.0,0.0
-386.955094237371,100,10.788923,0.0,-386.955094237371,0.0,0.0
-252.32384416410528,100,11.888643,0.0,-252.32384416410528,0.0,0.0
-254.5619496149911,100,12.949195,0.0,-254.5619496149911,0.0,0.0
-316.35388388379044,100,51.524753,0.0,-316.35388388379044,0.0,0.0
-192.69114042276044,100,52.408628,0.0,-192.69114042276044,0.0,0.0
-337.8619262837414,100,53.421587,0.0,-337.8619262837414,0.0,0.0
-165.69874816258528,100,54.512765,0.0,-165.69874816258528,0.0,0.0
-298.03445315475074,100,55.607958,0.0,-298.03445315475074,0.0,0.0
-548.1923369294448,100,56.706981,0.0,-548.1923369294448,0.0,0.0
-350.6724026571772,100,57.794678,0.0,-350.6724026571772,0.0,0.0
-421.46288384333025,100,58.875146,0.0,-421.46288384333025,0.0,0.0
-259.80437083698166,100,59.971736,0.0,-259.80437083698166,0.0,0.0
-134.52435455436216,100,61.064872,0.0,-134.52435455436216,0.0,0.0
-207.31653448260346,100,90.570627,0.0,-207.31653448260346,0.0,0.0
-179.57341827837487,100,91.667287,0.0,-179.57341827837487,0.0,0.0
-195.04897209122169,100,92.757644,0.0,-195.04897209122169,0.0,0.0
-322.40401074859057,100,93.851895,0.0,-322.40401074859057,0.0,0.0
-304.82202276050214,100,94.947858,0.0,-304.82202276050214,0.0,0.0
-276.86771681647315,100,96.045688,0.0,-276.86771681647315,0.0,0.0
-172.96233446606607,100,97.134937,0.0,-172.96233446606607,0.0,0.0
-318.4456154188916,100,98.232397,0.0,-318.4456154188916,0.0,0.0
-314.9452063945137,100,99.335865,0.0,-314.9452063945137,0.0,0.0
-220.50116848604168,100,100.421937,0.0,-220.50116848604168,0.0,0.0
-412.57811298715137,100,129.939675,0.0,-412.57811298715137,0.0,0.0
-319.75998072415996,100,131.03659,0.0,-319.75998072415996,0.0,0.0
-143.22055838624507,100,132.133643,0.0,-143.22055838624507,0.0,0.0
-186.8138234781118,100,133.209775,0.0,-186.8138234781118,0.0,0.0
-253.96722919513047,100,134.315761,0.0,-253.96722919513047,0.0,0.0
-274.226000319545,100,135.414024,0.0,-274.226000319545,0.0,0.0
-247.8273472844904,100,136.51453,0.0,-247.8273472844904,0.0,0.0
-224.7180696818511,100,137.616556,0.0,-224.7180696818511,0.0,0.0
-207.1034874751884,100,138.710766,0.0,-207.1034874751884,0.0,0.0
-263.69493923524,100,139.809732,0.0,-263.69493923524,0.0,0.0
-164.37465939984207,100,169.280306,0.0,-164.37465939984207,0.0,0.0
-200.0325439333861,100,170.382988,0.0,-196.0325439333861,-2.0,-2.0
-252.38468397775225,100,171.479589,0.0,-252.38468397775225,0.0,0.0
-177.41398471055913,100,172.586278,0.0,-177.41398471055913,0.0,0.0
-150.93903313158518,100,173.681831,0.0,-150.93903313158518,0.0,0.0
-278.9649983036682,100,174.785458,0.0,-278.9649983036682,0.0,0.0
-220.649022283433,100,175.887169,0.0,-220.649022283433,0.0,0.0
-286.7229591779748,100,176.993268,0.0,-286.7229591779748,0.0,0.0
-296.90039579531225,100,178.099576,0.0,-296.90039579531225,0.0,0.0
-175.19279193395306,100,179.204435,0.0,-175.19279193395306,0.0,0.0
-144.1413389878365,100,208.767633,0.0,-144.1413389878365,0.0,0.0
-124.8107450499624,100,209.879453,0.0,-122.8107450499624,-1.0,-1.0
-140.2955130438384,100,210.980827,0.0,-140.2955130438384,0.0,0.0
-219.00770230327777,100,212.0758,0.0,-217.00770230327777,-2.0,0.0
-238.08296616224357,100,213.170574,0.0,-238.08296616224357,0.0,0.0
-203.02800024912807,100,214.266319,0.0,-203.02800024912807,0.0,0.0
-210.35238256322026,100,215.359749,0.0,-210.35238256322026,0.0,0.0
-217.79760602506488,100,216.457979,0.0,-217.79760602506488,0.0,0.0
-314.8060229418874,100,217.538288,0.0,-314.8060229418874,0.0,0.0
-264.9295479470763,100,218.628995,0.0,-264.9295479470763,0.0,0.0
-223.58668860738408,100,248.175271,0.0,-223.58668860738408,0.0,0.0
-147.31095668810292,100,249.277281,0.0,-147.31095668810292,0.0,0.0
-203.21863066864603,100,250.390935,0.0,-203.21863066864603,0.0,0.0
-170.14739322714027,100,251.495291,0.0,-170.14739322714027,0.0,0.0
-160.45787211674067,100,252.59212,0.0,-160.45787211674067,0.0,0.0
-160.24656837908975,100,253.6762,0.0,-160.24656837908975,0.0,0.0
