# {"t_start": 1665108357.8942463, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-338.80460963431915,100,2.817882,0.0,-338.80460963431915,0.0,0.0
-518.4682984914234,100,3.93187,0.0,-518.4682984914234,0.0,0.0
-226.75749741135292,100,5.042954,0.0,-226.75749741135292,0.0,0.0
-259.7013361097276,100,6.130157,0.0,-259.7013361097276,0.0,0.0
-391.560224305948,100,7.220608,0.0,-391.560224305948,0.0,0.0
-255.0875877992945,100,8.297818,0.0,-255.0875877992945,0.0,0.0
-275.2709128543509,100,9.391616,0.0,-275.2709128543509,0.0,0.0
-291.5676714121149,100,10.486139,0.0,-291.5676714121149,0.0,0.0
-360.154846847182,100,11.584536,0.0,-360.154846847182,0.0,0.0
-348.20248924495627,100,12.643571,0.0,-348.20248924495627,0.0,0.0
-408.90662291649915,100,51.221693,0.0,-408.90662291649915,0.0,0.0
-182.13801730060734,100,52.104318,0.0,-181.13801730060734,-1.0,0.0
-701.2475557764074,100,53.117626,0.0,-701.2475557764074,0.0,0.0
-437.2050812661833,100,54.208614,0.0,-437.2050812661833,0.0,0.0
-275.95262542258837,100,55.302748,0.0,-275.95262542258837,0.0,0.0
-232.77064408291702,100,56.40281,0.0,-232.77064408291702,0.0,0.0
-351.42099873909245,100,57.490708,0.0,-351.42099873909245,0.0,0.0
-242.0352987395409,100,58.571128,0.0,-242.0352987395409,0.0,0.0
-404.9328953193937,100,59.668946,0.0,-404.9328953193937,0.0,0.0
-356.9496113457384,100,60.761725,0.0,-355.9496113457384,-1.0,0.0
-222.55090199842616,100,90.266494,0.0,-222.55090199842616,0.0,0.0
-254.71391813558898,100,91.363293,0.0,-254.71391813558898,0.0,0.0
-307.86056985688003,100,92.452373,0.0,-307.86056985688003,0.0,0.0
-204.89936323534144,100,93.547854,0.0,-204.89936323534144,0.0,0.0
-204.4894669541629,100,94.642589,0.0,-204.4894669541629,0.0,0.0
-428.9272823481311,100,95.741546,0.0,-428.9272823481311,0.0,0.0
-264.75904068315026,100,96.829592,0.0,-264.75904068315026,0.0,0.0
-192.68412008219735,100,97.928333,0.0,-192.68412008219735,0.0,0.0
-280.21624500978686,100,99.031894,0.0,-280.21624500978686,0.0,0.0
-164.25496623229938,100,100.117696,0.0,-164.25496623229938,0.0,0.0
-225.0072066144335,100,129.636704,0.0,-225.0072066144335,0.0,0.0
-362.7092856512686,100,130.732642,0.0,-362.7092856512686,0.0,0.0
-191.96305553388885,100,131.829572,0.0,-191.96305553388885,0.0,0.0
-297.14522916267197,100,132.90461,0.0,-297.14522916267197,0.0,0.0
-267.7696137586967,100,134.01161,0.0,-267.7696137586967,0.0,0.0
-217.76632911397215,100,135.109904,0.0,-217.76632911397215,0.0,0.0
-246.67597738996437,100,136.210545,0.0,-244.67597738996437,0.0,-2.0
-221.40391057662043,100,137.312626,0.0,-221.40391057662043,0.0,0.0
-178.75068941454703,100,138.406654,0.0,-178.75068941454703,0.0,0.0
-268.16693336604635,100,139.505136,0.0,-268.16693336604635,0.0,0.0
-144.3895582005972,100,168.974993,0.0,-144.3895582005972,0.0,0.0
-202.41359881723383,100,170.080112,0.0,-202.41359881723383,0.0,0.0
-189.22497596898938,100,171.176715,0.0,-189.22497596898938,0.0,0.0
-200.5952331169613,100,172.282151,0.0,-200.5952331169613,0.0,0.0
-232.41325222968493,100,173.376243,0.0,-231.41325222968493,-1.0,0.0
-240.19307152758836,100,174.481445,0.0,-240.19307152758836,0.0,0.0
-209.38356470752848,100,175.583044,0.0,-209.38356470752848,0.0,0.0
-237.61677337298323,100,176.689094,0.0,-237.61677337298323,0.0,0.0
-144.471244354007,100,177.794284,0.0,-144.471244354007,0.0,0.0
-215.61170248127738,100,178.900363,0.0,-215.61170248127738,0.0,0.0
-153.34795398623314,100,208.463605,0.0,-153.34795398623314,0.0,0.0
-163.10606850198553,100,209.575339,0.0,-163.10606850198553,0.0,0.0
-244.20246438022102,100,210.677766,0.0,-244.20246438022102,0.0,0.0
-154.02048979481182,100,211.771751,0.0,-154.02048979481182,0.0,0.0
-162.90591216674258,100,212.866467,0.0,-162.90591216674258,0.0,0.0
-193.1419480803967,100,213.962402,0.0,-193.1419480803967,0.0,0.0
-170.74293027796355,100,215.055621,0.0,-170.74293027796355,0.0,0.0
-247.92574501941817,100,216.153851,0.0,-247.92574501941817,0.0,0.0
-208.65955096773112,100,217.23412,0.0,-208.65955096773112,0.0,0.0
-216.83896086391493,100,218.325014,0.0,-216.83896086391493,0.0,0.0
