# {"t_start": 1665108357.7770932, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-158.3642764841785,100,726.249373,0.0,-158.3642764841785,0.0,0.0
-228.4657504956922,100,727.35244,0.0,-228.4657504956922,0.0,0.0
-190.61001316625052,100,728.459533,0.0,-190.61001316625052,0.0,0.0
-208.54735898866969,100,729.560921,0.0,-208.54735898866969,0.0,0.0
-192.7407490662613,100,730.673664,0.0,-192.7407490662613,0.0,0.0
-133.19759649705074,100,731.786444,0.0,-133.19759649705074,0.0,0.0
-163.4198495945186,100,732.887211,0.0,-160.4198495945186,-3.0,0.0
-186.657768610577,100,762.388251,0.0,-186.657768610577,0.0,0.0
-180.50468938549974,100,763.495505,0.0,-180.50468938549974,0.0,0.0
-131.86971063482707,100,764.592751,0.0,-131.86971063482707,0.0,0.0
-238.54223395540188,100,765.690436,0.0,-238.54223395540188,0.0,0.0
-135.14000539651266,100,766.793468,0.0,-135.14000539651266,0.0,0.0
-141.23719844364092,100,767.90393,0.0,-141.23719844364092,0.0,0.0
-176.5676182241629,100,769.020894,0.0,-176.5676182241629,0.0,0.0
-215.4443196394903,100,770.129657,0.0,-215.4443196394903,0.0,0.0
-173.63696507823892,100,771.234772,0.0,-173.63696507823892,0.0,0.0
-178.3468386653616,100,772.338466,0.0,-178.3468386653616,0.0,0.0
-170.70302909810403,100,802.027622,0.0,-170.70302909810403,0.0,0.0
-174.63890982481638,100,803.132524,0.0,-174.63890982481638,0.0,0.0
-136.91287172900786,100,804.241827,0.0,-136.91287172900786,0.0,0.0
-107.71999839010118,100,805.343749,0.0,-107.71999839010118,0.0,0.0
-172.70202019823998,100,806.466913,0.0,-172.70202019823998,0.0,0.0
-175.17362373117598,100,807.562691,0.0,-175.17362373117598,0.0,0.0
-182.81596406061718,100,808.669398,0.0,-182.81596406061718,0.0,0.0
-115.56871001506016,100,809.771939,0.0,-115.56871001506016,0.0,0.0
-178.27557644162312,100,810.868836,0.0,-178.27557644162312,0.0,0.0
-162.64646491853495,100,811.970938,0.0,-162.64646491853495,0.0,0.0
-138.16770316052293,100,842.209586,0.0,-136.16770316052293,-1.0,-1.0
-113.07625086304124,100,843.313141,0.0,-113.07625086304124,0.0,0.0
-154.96803879213533,100,844.423419,0.0,-151.96803879213533,0.0,-3.0
-121.6597450760129,100,845.497034,0.0,-121.6597450760129,0.0,0.0
-127.58083865878568,100,846.600023,0.0,-127.58083865878568,0.0,0.0
-115.08274768239005,100,847.707714,0.0,-115.08274768239005,0.0,0.0
-140.84187830900305,100,848.804171,0.0,-138.84187830900305,-2.0,0.0
-132.2673172858146,100,849.91215,0.0,-132.2673172858146,0.0,0.0
-174.52072818233685,100,851.014218,0.0,-174.52072818233685,0.0,0.0
-116.02084028492698,100,852.1219,0.0,-116.02084028492698,0.0,0.0
-197.3604154493588,100,881.634588,0.0,-195.3604154493588,0.0,-2.0
-119.2017745538597,100,882.733117,0.0,-119.2017745538597,0.0,0.0
-224.8591759709285,100,883.83268,0.0,-222.8591759709285,0.0,-2.0
-195.08139434483863,100,884.941396,0.0,-195.08139434483863,0.0,0.0
-232.3258831027066,100,886.089115,0.0,-232.3258831027066,0.0,0.0
-211.23456543361925,100,887.275998,0.0,-211.23456543361925,0.0,0.0
-152.26229910545592,100,888.376098,0.0,-152.26229910545592,0.0,0.0
-102.05375872214238,100,889.480735,0.0,-102.05375872214238,0.0,0.0
-189.22183110539171,100,890.589158,0.0,-189.22183110539171,0.0,0.0
-112.7140416908719,100,891.678758,0.0,-110.7140416908719,-2.0,0.0
-162.79165819181833,100,921.486189,0.0,-162.79165819181833,0.0,0.0
-152.29090721391995,100,922.580395,0.0,-152.29090721391995,0.0,0.0
-107.45318414966064,100,923.673368,0.0,-107.45318414966064,0.0,0.0
-170.37435264698792,100,924.77021,0.0,-170.37435264698792,0.0,0.0
-145.08892076560053,100,925.868711,0.0,-145.08892076560053,0.0,0.0
-236.65141344678187,100,926.978879,0.0,-236.65141344678187,0.0,0.0
-249.41923817754792,100,928.083,0.0,-249.41923817754792,0.0,0.0
-138.64818472357885,100,929.19156,0.0,-136.64818472357885,0.0,-2.0
-192.22134263374855,100,930.300718,0.0,-192.22134263374855,0.0,0.0
-142.3070803367216,100,931.417202,0.0,-141.3070803367216,-1.0,0.0
-136.18511389698514,100,960.666874,0.0,-136.18511389698514,0.0,0.0
-100.27573858603681,100,961.770273,0.0,-99.27573858603681,0.0,-1.0
-183.74692896069243,100,962.883895,0.0,-183.74692896069243,0.0,0.0
-199.63303044768267,100,963.988885,0.0,-199.63303044768267,0.0,0.0
-141.82612533604248,100,965.091097,0.0,-141.82612533604248,0.0,0.0
-191.3846390497237,100,966.190066,0.0,-191.3846390497237,0.0,0.0
-218.76153034048767,100,967.29944,0.0,-218.76153034048767,0.0,0.0
