# {"t_start": 1665108357.1056123, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-187.07718792951553,100,3.606686,0.0,-187.07718792951553,0.0,0.0
-253.3110900440496,100,4.720428,0.0,-253.3110900440496,0.0,0.0
-236.2086418745361,100,5.831325,0.0,-236.2086418745361,0.0,0.0
-230.74391214658726,100,6.918756,0.0,-230.74391214658726,0.0,0.0
-335.50748628175063,100,8.008923,0.0,-335.50748628175063,0.0,0.0
-484.7051665466205,100,9.086519,0.0,-484.7051665466205,0.0,0.0
-175.37826715560016,100,10.178693,0.0,-175.37826715560016,0.0,0.0
-337.2408371629413,100,11.273426,0.0,-337.2408371629413,0.0,0.0
-352.16053672700957,100,12.373163,0.0,-352.16053672700957,0.0,0.0
-204.00052596423905,100,13.432435,0.0,-204.00052596423905,0.0,0.0
-355.51728077751903,100,52.008646,0.0,-355.51728077751903,0.0,0.0
-130.01736841303043,100,52.892847,0.0,-130.01736841303043,0.0,0.0
-199.46606323605727,100,53.904986,0.0,-199.46606323605727,0.0,0.0
-236.01577568591722,100,54.997105,0.0,-236.01577568591722,0.0,0.0
-357.0421126859629,100,56.092518,0.0,-357.0421126859629,0.0,0.0
-250.21467699896326,100,57.191362,0.0,-250.21467699896326,0.0,0.0
-310.1909228257284,100,58.277692,0.0,-310.1909228257284,0.0,0.0
-268.0623537244885,100,59.359572,0.0,-268.0623537244885,0.0,0.0
-257.80161989684547,100,60.457371,0.0,-257.80161989684547,0.0,0.0
-248.43722119474242,100,61.550327,0.0,-248.43722119474242,0.0,0.0
-387.2604734300492,100,91.056202,0.0,-387.2604734300492,0.0,0.0
-238.30642162623369,100,92.151793,0.0,-238.30642162623369,0.0,0.0
-335.8825033726916,100,93.241896,0.0,-335.8825033726916,0.0,0.0
-228.35380405500123,100,94.336497,0.0,-228.35380405500123,0.0,0.0
-218.14153859036395,100,95.432399,0.0,-218.14153859036395,0.0,0.0
-305.02625585320055,100,96.530058,0.0,-305.02625585320055,0.0,0.0
-127.90894699088858,100,97.619369,0.0,-125.90894699088858,-2.0,0.0
-251.99703219842817,100,98.717085,0.0,-251.99703219842817,0.0,0.0
-283.26322283225966,100,99.82036,0.0,-283.26322283225966,0.0,0.0
-221.79088237677425,100,100.906252,0.0,-221.79088237677425,0.0,0.0
-190.89056347504507,100,130.4251,0.0,-190.89056347504507,0.0,0.0
-222.50116873755633,100,131.521237,0.0,-222.50116873755633,0.0,0.0
-215.71341656758818,100,132.617929,0.0,-215.71341656758818,0.0,0.0
-202.47884764111654,100,133.69426,0.0,-202.47884764111654,0.0,0.0
-305.95692556140193,100,134.800209,0.0,-305.95692556140193,0.0,0.0
-152.3517737608292,100,135.898432,0.0,-152.3517737608292,0.0,0.0
-203.17265236731387,100,136.998893,0.0,-203.17265236731387,0.0,0.0
-206.49068685136854,100,138.102071,0.0,-206.49068685136854,0.0,0.0
-322.70790459917174,100,139.194036,0.0,-322.70790459917174,0.0,0.0
-247.47741327359276,100,140.294195,0.0,-247.47741327359276,0.0,0.0
-159.6550426329537,100,169.764498,0.0,-159.6550426329537,0.0,0.0
