# {"t_start": 1665108357.7568374, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-216.69158138738874,100,2.962428,0.0,-216.69158138738874,0.0,0.0
-209.08199597238718,100,4.075839,0.0,-209.08199597238718,0.0,0.0
-184.3237332492133,100,5.186756,0.0,-184.3237332492133,0.0,0.0
-254.47125420299332,100,6.274201,0.0,-254.47125420299332,0.0,0.0
-267.2741838409036,100,7.363371,0.0,-267.2741838409036,0.0,0.0
-266.9409987111907,100,8.44182,0.0,-266.9409987111907,0.0,0.0
-134.11901465049147,100,9.535428,0.0,-134.11901465049147,0.0,0.0
-126.7118009747777,100,10.629701,0.0,-126.7118009747777,0.0,0.0
-269.6836116377166,100,11.727324,0.0,-269.6836116377166,0.0,0.0
-229.36867449619803,100,12.7889,0.0,-229.36867449619803,0.0,0.0
-346.1798015148645,100,51.365886,0.0,-346.1798015148645,0.0,0.0
-261.18731377247565,100,52.247404,0.0,-261.18731377247565,0.0,0.0
-278.65093623386616,100,53.261607,0.0,-278.65093623386616,0.0,0.0
-231.1138147575461,100,54.352445,0.0,-231.1138147575461,0.0,0.0
-235.37979614520395,100,55.44797,0.0,-235.37979614520395,0.0,0.0
-152.57820420959564,100,56.546726,0.0,-152.57820420959564,0.0,0.0
-306.42787764137194,100,57.634634,0.0,-306.42787764137194,0.0,0.0
-267.6497455954988,100,58.714823,0.0,-267.6497455954988,0.0,0.0
-275.3726928087013,100,59.812925,0.0,-275.3726928087013,0.0,0.0
-287.7155090548454,100,60.905626,0.0,-287.7155090548454,0.0,0.0
-197.2326328940322,100,90.411422,0.0,-195.2326328940322,0.0,-2.0
-238.82880225358707,100,91.507053,0.0,-238.82880225358707,0.0,0.0
-292.6090006253646,100,92.596374,0.0,-292.6090006253646,0.0,0.0
-274.9159247042469,100,93.690656,0.0,-274.9159247042469,0.0,0.0
-225.19283712055716,100,94.787823,0.0,-225.19283712055716,0.0,0.0
-259.070688916257,100,95.885498,0.0,-259.070688916257,0.0,0.0
-315.9419223129642,100,96.974563,0.0,-315.9419223129642,0.0,0.0
-223.04999958709098,100,98.072402,0.0,-223.04999958709098,0.0,0.0
-236.36735857355703,100,99.175842,0.0,-236.36735857355703,0.0,0.0
-199.55160595291346,100,100.261669,0.0,-199.55160595291346,0.0,0.0
-618.6370539114575,100,129.780558,0.0,-618.6370539114575,0.0,0.0
-209.5118665558686,100,130.876519,0.0,-209.5118665558686,0.0,0.0
-236.03129963282598,100,131.973387,0.0,-236.03129963282598,0.0,0.0
-291.2017815666648,100,133.049795,0.0,-291.2017815666648,0.0,0.0
-234.20845873787357,100,134.154423,0.0,-234.20845873787357,0.0,0.0
-122.76429023925496,100,135.254031,0.0,-118.76429023925496,-2.0,-2.0
-177.22058054215668,100,136.353232,0.0,-177.22058054215668,0.0,0.0
-151.17768136923888,100,137.457569,0.0,-151.17768136923888,0.0,0.0
-191.27936420890057,100,138.550621,0.0,-191.27936420890057,0.0,0.0
-232.0246084101682,100,139.649814,0.0,-232.0246084101682,0.0,0.0
-152.5019390044271,100,169.119986,0.0,-152.5019390044271,0.0,0.0
-253.42189809868762,100,170.222913,0.0,-253.42189809868762,0.0,0.0
-150.6213912207246,100,171.320576,0.0,-150.6213912207246,0.0,0.0
-174.3326109798782,100,172.426244,0.0,-174.3326109798782,0.0,0.0
-266.3460661144564,100,173.520303,0.0,-266.3460661144564,0.0,0.0
-240.6488404760786,100,174.625099,0.0,-240.6488404760786,0.0,0.0
-173.2931324763899,100,175.726715,0.0,-173.2931324763899,0.0,0.0
-199.4422149188002,100,176.832883,0.0,-195.4422149188002,-2.0,-2.0
-175.701770383939,100,177.93934,0.0,-175.701770383939,0.0,0.0
-203.68421438121717,100,179.044231,0.0,-203.68421438121717,0.0,0.0
-247.31702655734006,100,208.607366,0.0,-247.31702655734006,0.0,0.0
-238.28862270371638,100,209.719063,0.0,-238.28862270371638,0.0,0.0
-175.82988852191218,100,210.821677,0.0,-175.82988852191218,0.0,0.0
-275.60010355413897,100,211.915824,0.0,-275.60010355413897,0.0,0.0
-231.51167505934276,100,213.010423,0.0,-231.51167505934276,0.0,0.0
-203.8094768203637,100,214.106101,0.0,-203.8094768203637,0.0,0.0
-198.37010447453386,100,215.199362,0.0,-198.37010447453386,0.0,0.0
-181.76287159224907,100,216.297595,0.0,-181.76287159224907,0.0,0.0
-192.44836467952175,100,217.376884,0.0,-192.44836467952175,0.0,0.0
-226.24039524002325,100,218.47024,0.0,-226.24039524002325,0.0,0.0
-227.03831768382344,100,248.016757,0.0,-227.03831768382344,0.0,0.0
-183.28110616852223,100,249.117075,0.0,-183.28110616852223,0.0,0.0
-224.44383187689235,100,250.229756,0.0,-224.44383187689235,0.0,0.0
-269.46635929762084,100,251.334116,0.0,-269.46635929762084,0.0,0.0
-343.75274535354316,100,252.431956,0.0,-343.75274535354316,0.0,0.0
-151.1144708788005,100,253.516154,0.0,-151.1144708788005,0.0,0.0
-211.7281158718693,100,254.612942,0.0,-211.7281158718693,0.0,0.0
-249.99647994024537,100,255.71314,0.0,-249.99647994024537,0.0,0.0
-198.98150963921026,100,256.817257,0.0,-198.98150963921026,0.0,0.0
-240.28912228637975,100,257.913203,0.0,-240.28912228637975,0.0,0.0
-232.85477586835495,100,287.519068,0.0,-232.85477586835495,0.0,0.0
-162.96547908936273,100,288.621598,0.0,-162.96547908936273,0.0,0.0
-190.5768937021444,100,289.711088,0.0,-190.5768937021444,0.0,0.0
-203.63389365166813,100,290.80188,0.0,-203.63389365166813,0.0,0.0
-220.16943956276552,100,291.903941,0.0,-220.16943956276552,0.0,0.0
-354.53722024787567,100,293.000586,0.0,-354.53722024787567,0.0,0.0
-170.35638848146024,100,294.094248,0.0,-170.35638848146024,0.0,0.0
-210.67398961485227,100,295.201169,0.0,-210.67398961485227,0.0,0.0
-246.09276456122436,100,296.30349,0.0,-244.09276456122436,-2.0,0.0
-117.35066823672018,100,297.388285,0.0,-117.35066823672018,0.0,0.0
-258.4568253352752,100,326.997695,0.0,-258.4568253352752,0.0,0.0
-243.83394456800184,100,328.094608,0.0,-243.83394456800184,0.0,0.0
-133.96207790303012,100,329.198013,0.0,-133.96207790303012,0.0,0.0
-226.96657625194354,100,330.296408,0.0,-226.96657625194354,0.0,0.0
-166.5545804014626,100,331.394911,0.0,-166.5545804014626,0.0,0.0
-198.64201941714666,100,332.483413,0.0,-198.64201941714666,0.0,0.0
-192.05739415934906,100,333.595255,0.0,-192.05739415934906,0.0,0.0
-113.38108147839016,100,334.701953,0.0,-113.38108147839016,0.0,0.0
-244.2603211631562,100,335.791786,0.0,-244.2603211631562,0.0,0.0
-198.36742084621736,100,336.902236,0.0,-198.36742084621736,0.0,0.0
-200.87244113642808,100,366.29401,0.0,-200.87244113642808,0.0,0.0
-220.7787576681002,100,367.398086,0.0,-217.7787576681002,0.0,-3.0
-162.96892996440027,100,368.493381,0.0,-162.96892996440027,0.0,0.0
-214.93136543979577,100,369.583874,0.0,-214.93136543979577,0.0,0.0
-118.29613508964715,100,370.68548,0.0,-118.29613508964715,0.0,0.0
-209.7993130623494,100,371.785215,0.0,-209.7993130623494,0.0,0.0
-177.0264489660626,100,372.891711,0.0,-176.0264489660626,0.0,-1.0
-224.1222843450993,100,374.000391,0.0,-224.1222843450993,0.0,0.0
-202.49679449865687,100,375.1085,0.0,-202.49679449865687,0.0,0.0
-241.1103250055125,100,376.213755,0.0,-241.1103250055125,0.0,0.0
-105.60893228979131,100,405.622868,0.0,-105.60893228979131,0.0,0.0
-175.57207245064868,100,406.717922,0.0,-175.57207245064868,0.0,0.0
-197.5396325559938,100,407.818554,0.0,-197.5396325559938,0.0,0.0
-176.9134190061879,100,408.935184,0.0,-174.9134190061879,-2.0,0.0
-226.77453252464576,100,410.03759,0.0,-226.77453252464576,0.0,0.0
-200.66817118132983,100,411.148343,0.0,-200.66817118132983,0.0,0.0
-180.0447231049933,100,412.247289,0.0,-180.0447231049933,0.0,0.0
-155.87573676777572,100,413.356439,0.0,-155.87573676777572,0.0,0.0
-204.75707033803084,100,414.46201,0.0,-204.75707033803084,0.0,0.0
-216.98945992392365,100,415.563761,0.0,-216.98945992392365,0.0,0.0
-151.85212584089595,100,445.754609,0.0,-151.85212584089595,0.0,0.0
-149.6298830253003,100,446.855779,0.0,-149.6298830253003,0.0,0.0
-126.16253545921423,100,447.95811,0.0,-126.16253545921423,0.0,0.0
-128.52162616692738,100,449.058592,0.0,-128.52162616692738,0.0,0.0
-174.02563560313214,100,450.170257,0.0,-174.02563560313214,0.0,0.0
-111.32459082580463,100,451.261354,0.0,-111.32459082580463,0.0,0.0
-131.63864417364536,100,452.359638,0.0,-131.63864417364536,0.0,0.0
-138.6422720065702,100,453.460365,0.0,-138.6422720065702,0.0,0.0
-176.39890366749285,100,454.570046,0.0,-176.39890366749285,0.0,0.0
-189.42840095680336,100,455.672089,0.0,-189.42840095680336,0.0,0.0
-141.51301267002202,100,485.32162,0.0,-141.51301267002202,0.0,0.0
-236.653690115634,100,486.433451,0.0,-233.653690115634,0.0,-3.0
-142.12095846761062,100,487.541294,0.0,-142.12095846761062,0.0,0.0
-249.15741223909362,100,488.648645,0.0,-249.15741223909362,0.0,0.0
-146.24206434755823,100,489.749213,0.0,-146.24206434755823,0.0,0.0
-113.9798143630464,100,490.852503,0.0,-113.9798143630464,0.0,0.0
-125.08513207278176,100,491.954913,0.0,-125.08513207278176,0.0,0.0
-177.819946547629,100,493.062526,0.0,-177.819946547629,0.0,0.0
-155.84262104201497,100,494.15352,0.0,-155.84262104201497,0.0,0.0
-131.80651503174272,100,495.253664,0.0,-131.80651503174272,0.0,0.0
-159.7903136225557,100,524.941208,0.0,-159.7903136225557,0.0,0.0
-180.38726212021078,100,526.040497,0.0,-180.38726212021078,0.0,0.0
-165.95775112689947,100,527.150052,0.0,-165.95775112689947,0.0,0.0
-131.35160334062877,100,528.252572,0.0,-131.35160334062877,0.0,0.0
-201.27532686913636,100,529.36511,0.0,-201.27532686913636,0.0,0.0
-163.43807142668425,100,530.460302,0.0,-159.43807142668425,-2.0,-2.0
-174.34953679057543,100,531.566847,0.0,-174.34953679057543,0.0,0.0
-123.15677064204,100,532.671512,0.0,-123.15677064204,0.0,0.0
-171.15718557121752,100,533.760799,0.0,-171.15718557121752,0.0,0.0
-152.90410918800646,100,534.860458,0.0,-148.90410918800646,-2.0,-2.0
-160.93283585019375,100,564.603622,0.0,-156.93283585019375,-2.0,-2.0
-140.63133567180947,100,565.717179,0.0,-139.63133567180947,-1.0,0.0
-139.61367241778416,100,566.825133,0.0,-139.61367241778416,0.0,0.0
-139.39678625072057,100,567.921443,0.0,-139.39678625072057,0.0,0.0
-160.47645169712402,100,569.031264,0.0,-160.47645169712402,0.0,0.0
-108.57949643323487,100,570.135721,0.0,-108.57949643323487,0.0,0.0
-160.45378591190985,100,571.231094,0.0,-160.45378591190985,0.0,0.0
-140.63273499232818,100,572.350608,0.0,-140.63273499232818,0.0,0.0
-172.97554205095088,100,573.439854,0.0,-172.97554205095088,0.0,0.0
-142.2999441455836,100,574.547132,0.0,-142.2999441455836,0.0,0.0
-181.42311958114112,100,604.244174,0.0,-181.42311958114112,0.0,0.0
-199.9036115164767,100,605.341589,0.0,-199.9036115164767,0.0,0.0
-135.2018889813552,100,606.436919,0.0,-135.2018889813552,0.0,0.0
-138.55045107699465,100,607.531022,0.0,-138.55045107699465,0.0,0.0
-122.05393556622968,100,608.638613,0.0,-122.05393556622968,0.0,0.0
-170.14094495145488,100,609.743956,0.0,-170.14094495145488,0.0,0.0
-181.16197239600316,100,610.841498,0.0,-181.16197239600316,0.0,0.0
-118.07610125333755,100,611.941366,0.0,-117.07610125333755,0.0,-1.0
-115.6205230853974,100,613.029111,0.0,-115.6205230853974,0.0,0.0
-152.80897864152155,100,614.144447,0.0,-152.80897864152155,0.0,0.0
-147.17152751402355,100,643.567101,0.0,-147.17152751402355,0.0,0.0
-236.22424210246263,100,644.674632,0.0,-236.22424210246263,0.0,0.0
-159.2135606861708,100,645.778726,0.0,-159.2135606861708,0.0,0.0
-178.02778653511203,100,646.878856,0.0,-178.02778653511203,0.0,0.0
-224.38798016598759,100,647.984871,0.0,-224.38798016598759,0.0,0.0
-136.89365868152007,100,649.087711,0.0,-136.89365868152007,0.0,0.0
-100.98640092616064,100,650.19653,0.0,-100.98640092616064,0.0,0.0
-149.55028762917394,100,651.296936,0.0,-149.55028762917394,0.0,0.0
-138.047922242877,100,652.401288,0.0,-138.047922242877,0.0,0.0
-177.0266131986456,100,653.494448,0.0,-177.0266131986456,0.0,0.0
-230.81618097929876,100,683.392076,0.0,-230.81618097929876,0.0,0.0
-124.09220087939381,100,684.495928,0.0,-124.09220087939381,0.0,0.0
-189.614840378746,100,685.606959,0.0,-189.614840378746,0.0,0.0
-242.6450250531571,100,686.717464,0.0,-242.6450250531571,0.0,0.0
-217.13685872494779,100,687.818743,0.0,-217.13685872494779,0.0,0.0
-148.50412739909356,100,688.92491,0.0,-148.50412739909356,0.0,0.0
-150.14932856890346,100,690.024394,0.0,-150.14932856890346,0.0,0.0
-131.96058197579222,100,691.13507,0.0,-131.96058197579222,0.0,0.0
-156.8576862116781,100,692.230544,0.0,-156.8576862116781,0.0,0.0
-182.53442597300398,100,693.328386,0.0,-182.53442597300398,0.0,0.0
-172.6193555847401,100,722.936006,0.0,-172.6193555847401,0.0,0.0
-105.24599592125885,100,724.054523,0.0,-105.24599592125885,0.0,0.0
-161.21049767465917,100,725.162047,0.0,-161.21049767465917,0.0,0.0
-152.17187148776037,100,726.276079,0.0,-152.17187148776037,0.0,0.0
-179.1222945932784,100,727.380446,0.0,-179.1222945932784,0.0,0.0
-141.11476499076295,100,728.486321,0.0,-140.11476499076295,-1.0,0.0
-104.28099585175997,100,729.58655,0.0,-104.28099585175997,0.0,0.0
-132.99055370738606,100,730.700731,0.0,-132.99055370738606,0.0,0.0
-126.11466952605042,100,731.813334,0.0,-126.11466952605042,0.0,0.0
-148.8619622261376,100,732.914271,0.0,-148.8619622261376,0.0,0.0
-240.8783734664458,100,762.415247,0.0,-238.8783734664458,-1.0,-1.0
-139.36987115026884,100,763.522356,0.0,-139.36987115026884,0.0,0.0
-134.508338892757,100,764.619893,0.0,-134.508338892757,0.0,0.0
-114.12131310553664,100,765.71714,0.0,-114.12131310553664,0.0,0.0
-120.95550656451432,100,766.820413,0.0,-120.95550656451432,0.0,0.0
-125.33716543995418,100,767.931103,0.0,-125.33716543995418,0.0,0.0
-148.06213462207478,100,769.047626,0.0,-148.06213462207478,0.0,0.0
-88.21714126855443,100,770.156741,0.0,-88.21714126855443,0.0,0.0
-199.76417315111004,100,771.261612,0.0,-199.76417315111004,0.0,0.0
-112.75001374966601,100,772.365566,0.0,-112.75001374966601,0.0,0.0
-170.56270672713046,100,802.054381,0.0,-170.56270672713046,0.0,0.0
-159.46106385215617,100,803.159575,0.0,-159.46106385215617,0.0,0.0
-170.87943864897468,100,804.269774,0.0,-170.87943864897468,0.0,0.0
-214.5939134203042,100,805.370849,0.0,-214.5939134203042,0.0,0.0
-162.00256555854025,100,806.492614,0.0,-162.00256555854025,0.0,0.0
-119.50093138189787,100,807.590664,0.0,-119.50093138189787,0.0,0.0
-130.35247085030312,100,808.696476,0.0,-130.35247085030312,0.0,0.0
-142.6042089832749,100,809.798986,0.0,-142.6042089832749,0.0,0.0
-221.10796274267722,100,810.895955,0.0,-221.10796274267722,0.0,0.0
-248.47888236610572,100,811.997806,0.0,-246.47888236610572,-2.0,0.0
-241.03239748633484,100,842.235618,0.0,-241.03239748633484,0.0,0.0
-163.33182967909443,100,843.340207,0.0,-163.33182967909443,0.0,0.0
-166.7169537352969,100,844.450519,0.0,-164.7169537352969,0.0,-2.0
-203.34007479307306,100,845.523845,0.0,-203.34007479307306,0.0,0.0
-212.7738851623233,100,846.627043,0.0,-212.7738851623233,0.0,0.0
-111.54294827650135,100,847.734819,0.0,-111.54294827650135,0.0,0.0
-193.35204637447845,100,848.831818,0.0,-193.35204637447845,0.0,0.0
-160.0207818807011,100,849.939174,0.0,-160.0207818807011,0.0,0.0
-206.07323062767824,100,851.041239,0.0,-206.07323062767824,0.0,0.0
-195.49524308304038,100,852.148893,0.0,-195.49524308304038,0.0,0.0
-182.05514970957827,100,881.660339,0.0,-182.05514970957827,0.0,0.0
-203.3195725982186,100,882.759793,0.0,-203.3195725982186,0.0,0.0
-175.70854357581425,100,883.859027,0.0,-175.70854357581425,0.0,0.0
-125.29594566510012,100,884.967855,0.0,-125.29594566510012,0.0,0.0
-182.83972024972778,100,886.115883,0.0,-182.83972024972778,0.0,0.0
-130.57706171255114,100,887.302755,0.0,-130.57706171255114,0.0,0.0
-186.23574732895864,100,888.402974,0.0,-186.23574732895864,0.0,0.0
-151.2217518885073,100,889.507395,0.0,-151.2217518885073,0.0,0.0
-152.5250581936201,100,890.615767,0.0,-150.5250581936201,-2.0,0.0
-151.22092879317793,100,891.706767,0.0,-151.22092879317793,0.0,0.0
-207.02809991941936,100,921.512885,0.0,-207.02809991941936,0.0,0.0
-212.33347912352346,100,922.607423,0.0,-207.33347912352346,-3.0,-2.0
-160.3874493287259,100,923.699102,0.0,-160.3874493287259,0.0,0.0
-110.26540323799082,100,924.797236,0.0,-102.26540323799082,-4.0,-4.0
-145.28128465573067,100,925.894709,0.0,-145.28128465573067,0.0,0.0
-144.50859774731964,100,927.004735,0.0,-144.50859774731964,0.0,0.0
-146.04793701709173,100,928.109847,0.0,-146.04793701709173,0.0,0.0
-189.5642590873244,100,929.217277,0.0,-189.5642590873244,0.0,0.0
-170.2968194105832,100,930.327817,0.0,-170.2968194105832,0.0,0.0
-187.50117361908215,100,931.444242,0.0,-187.50117361908215,0.0,0.0
-121.42073711058475,100,960.693973,0.0,-121.42073711058475,0.0,0.0
-115.340786686494,100,961.797424,0.0,-115.340786686494,0.0,0.0
-115.95331991534938,100,962.910432,0.0,-115.95331991534938,0.0,0.0
-148.87384452590504,100,964.017004,0.0,-146.87384452590504,0.0,-2.0
-126.90606178517862,100,965.117893,0.0,-126.90606178517862,0.0,0.0
-166.9997748274201,100,966.218719,0.0,-166.9997748274201,0.0,0.0
-166.83694986547266,100,967.325058,0.0,-166.83694986547266,0.0,0.0
-222.99833750613152,100,968.44053,0.0,-222.99833750613152,0.0,0.0
-236.6600389166922,100,969.547386,0.0,-236.6600389166922,0.0,0.0
-192.01154092600376,100,970.639415,0.0,-186.01154092600376,-3.0,-3.0
-289.7746567915407,100,1000.898208,0.0,-287.7746567915407,-2.0,0.0
-201.03131812856518,100,1001.997392,0.0,-201.03131812856518,0.0,0.0
-183.91933498039708,100,1003.105848,0.0,-177.91933498039708,-4.0,-2.0
-242.45504124198675,100,1004.206523,0.0,-242.45504124198675,0.0,0.0
-253.4901124318049,100,1005.317706,0.0,-253.4901124318049,0.0,0.0
-209.67845276134483,100,1006.411841,0.0,-209.67845276134483,0.0,0.0
-123.93621368198168,100,1007.514564,0.0,-123.93621368198168,0.0,0.0
-125.99647734068823,100,1008.606531,0.0,-125.99647734068823,0.0,0.0
-152.07039006271762,100,1009.709801,0.0,-152.07039006271762,0.0,0.0
-160.4820368238804,100,1010.808443,0.0,-160.4820368238804,0.0,0.0
-225.39344317746506,100,1040.366532,0.0,-225.39344317746506,0.0,0.0
