# {"t_start": 1613087087.3340542, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7
-49.123972877685794,100,395.59665,0.0,-49.123972877685794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-85.83595325317845,100,405.843622,0.0,-85.83595325317845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5072625,100,9.074421,0.0,-17.00724885072625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-34.579959002824154,100,10.537799,0.0,-34.579959002824154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-137.922271988615,100,11.996224,0.0,-137.922271988615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-54.997812857666155,100,13.5079,0.0,-54.997812857666155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.95734328563779,100,15.013364,0.0,-45.95734328563779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.78106717749449,100,16.485578,0.0,120.78106717749449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.39699551023088,100,18.073641,0.0,19.39699551023088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.580361889686575,100,19.496267,0.0,20.580361889686575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
