# {"t_start": 1612913927.605073, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-2314.9327060613014,24,7.70604,0.0,-421.0196800773638,-679.0648229794704,-221.21268472290484,-129.34011553449614,-200.7513116149893,-118.16188195985038,-121.91972250841481,-131.4135133286965,-176.27366621175923,-115.77530712335582,0.0,0.0,3.1933416794367564,0.05218811047645007
-4016.2360781517477,24,8.452387,0.0,-930.8116353799361,-1644.6576394222145,-371.4678331438796,-120.92902421290579,-313.76526577474397,-90.3224800688372,-93.53768599303349,-118.8945303192995,-237.18696685720363,-94.66301697969395,0,0,0,0
-2250.9822702467804,24,9.276063,0.0,-437.3553743360698,-723.4462975403089,-215.70014863149737,-113.17610454245963,-189.11167374840105,-100.22152772027546,-103.40706250795535,-113.56579934763604,-158.63287331801888,-96.36540855415755,0.0,0.0,1.9217681555134638,0.21803679564835204
-3235.7897088246796,24,10.059969,0.0,-736.3726753410546,-1298.9020224885055,-298.7916181219296,-100.52039761825652,-260.0282180896273,-76.95559095390769,-79.34722889759877,-98.93339241215985,-205.07192895009334,-80.86663595154644,0.0,0.0,4.254239035101532,0.07003645176497783
-1999.4302405883182,24,10.853522,0.0,-417.18488469596434,-717.6401934010887,-185.84025302942013,-79.32938788445479,-167.33818083681487,-67.21627762838226,-71.00375209546618,-81.18990113107336,-142.08404956226542,-70.6033603233885,0,0,0,0
-3309.1950281391255,24,11.649379,0.0,-709.7231179080934,-1221.7647663230994,-310.4087187436678,-129.80191009198444,-267.3915876722684,-107.40476757162727,-112.86480841981678,-131.74587977364914,-211.7906477516124,-106.2988238833064,0.0,0.0,8.996187569224915,1.5808852250145573
-2830.9230240290226,24,12.421516,0.0,-602.0224693342052,-1033.8870837067407,-265.03211722071535,-112.25212220000569,-230.10114581466476,-93.45370823089631,-97.33753346398966,-113.41442316598817,-189.65724094077365,-93.76517995104307,0,0,0,0
-3549.1932563162877,24,13.206011,0.0,-795.7128982053046,-1397.7739214961725,-327.9263797701735,-115.40244719759649,-289.68626850321033,-90.85641004632916,-95.84860830564844,-116.23719998831716,-226.3666809731812,-93.38244183035421,0.0,0.0,10.59719200992111,2.207484038690958
-3092.107833540847,24,14.011586,0.0,-659.0274266216344,-1130.1592651204917,-291.4990326635341,-124.88171973000834,-248.39963050807847,-103.80783057280935,-107.92196002351703,-125.36715510154107,-197.53067054021878,-103.51314265901384,0.0,0.010646262518222871,1.1298850700914878,0.7266438397184223
-2700.934778139917,24,14.821943,0.0,-553.6632257046399,-937.6370987010715,-255.48047272915304,-119.71025852517693,-222.89189326135315,-102.947253156756,-106.56727723004293,-120.30779688422973,-180.76327888350934,-100.96622306398403,0.0,0.0,2.388485430325027,0.11811897503566482
