# {"t_start": 1612913927.7401, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-2694.3264834269175,24,7.561132,0.0,-525.2801150524296,-876.1600958760824,-254.0552799022688,-128.7861337597341,-232.72730479327117,-113.94083304047759,-119.80742624708309,-132.2315460123172,-200.4204938313021,-110.9172549119511,0,0,0,0
-2896.5204105570265,24,8.321743,0.0,-525.6992813594688,-845.7945097186187,-275.5815317242008,-162.48419926473713,-252.27484147553744,-148.656475109383,-152.2852429043784,-164.32983392187916,-221.74092051726254,-147.67357456156066,0.0,0.0,3.358990238909232,0.16411449407478113
-3760.589789258766,24,9.140551,0.0,-844.437799945541,-1472.4535609265615,-349.87900134337,-129.9045600601143,-295.35497374959743,-102.39507591247799,-110.32617826316263,-133.4820185002286,-222.30563453637575,-100.05098602133677,0.0,0.0,2.0394956164467404,0.22211979354867334
-1872.669097455648,24,9.922311,0.0,-357.0180503603394,-586.5631344971698,-179.02383068778929,-96.85944947088328,-160.08595637396382,-86.99874858712845,-88.33123123510666,-96.11184586288664,-136.81503563132554,-84.86181474905506,0.0,0.0,1.4119338867702598,0.4938968794855108
-3824.5363315289924,24,10.72669,0.0,-894.4030715243343,-1583.4027118646777,-356.3545028674692,-112.5449287147603,-294.07475154339477,-81.86098681628332,-86.12007420616628,-111.31450843799136,-221.03850745913732,-83.42228809477793,45.20609368618136,0.039690364175076986,0.09786504909705818,5.851605086178261
-3042.8923482790424,24,11.515939,0.0,-689.110355214471,-1210.528468270328,-282.4052290379757,-98.37602008038148,-243.6822145623391,-76.52612821532024,-80.09816480334722,-97.64465185443272,-186.57091885908733,-77.95019738135959,0.0,0.019387662912308423,0.8634866727590353,0.7283139127863459
-2016.896691722052,24,12.293334,0.0,-360.4856447848924,-579.1656582169924,-192.16288445784582,-114.67909075978133,-179.68860704384738,-105.97441757035337,-107.91047265171864,-114.92344035825008,-156.7505001009928,-105.15597577737776,0.0,0.05171305086862654,0.3342720384184069,1.555742164589446
-2444.0159967986397,24,13.063713,0.0,-493.4325484114608,-836.5736605083213,-228.7823354456962,-106.86625841870946,-210.4321598810676,-93.27730760424207,-98.40162539460718,-109.72499255096423,-174.27775472463694,-92.24735385893402,0,0,0,0
-2040.2157817723366,24,13.874835,0.0,-353.5102491092219,-568.5211391175451,-191.05148884666963,-112.80102028387853,-190.94858988424193,-104.66513593254517,-109.28351624476234,-116.31861657764239,-185.02433404446953,-108.0916917313603,0.0,0.034120536360435993,0.6123248922448843,2.192129316337819
-2096.850220218096,24,14.679669,0.0,-346.2838558850382,-532.6202107500699,-203.62409382457702,-136.16532618766269,-188.49751440697682,-128.07770638486292,-131.1729780039402,-137.77808900792903,-169.74828032863076,-122.88216543840868,0.0,0.0,2.4087215456947817,0.5179244217438632
-2612.422988389634,24,29.583948,0.0,-543.310506802928,-930.4335629361462,-243.41952858647326,-106.93803744882648,-219.48569832968332,-91.39143324877618,-94.97528496116679,-107.97965577306137,-180.96460429736734,-93.524676005205,0.0,0.062456610532523715,0.0695120664865091,2.6934700537439653
-2229.414493833531,24,30.454471,0.0,-377.73543967875725,-590.4506864438949,-214.38593159603366,-138.1290244904352,-201.3978410375014,-129.33150778571212,-132.5568962270381,-139.5585307190743,-181.29724281949234,-124.57139303559194,0.0,0.0038845930629098913,1.3672913216984024,1.2715765021820482
-2422.4564563725335,24,31.312117,0.0,-463.72813954872055,-763.653402287552,-230.5074698211088,-124.74212943549402,-207.3143738363802,-112.27966218874384,-116.12739087263968,-126.08432578148671,-170.6604121199774,-107.35915048043033,0.0,0.03856715319690274,0.519133170896184,1.6584813875199813
-2718.9783912920343,24,32.250737,0.0,-522.1544694289735,-866.1995593794527,-255.6058621940496,-133.00642844325947,-237.05958886363402,-118.71499117309644,-120.07613867430571,-132.34959090851788,-212.6696544694805,-121.14210775726463,0.0,0.0,4.897287697578921,0.15551522332252096
-2435.3779725248455,24,33.137469,0.0,-506.8595840150132,-874.4558802787767,-224.24268266529506,-93.92526340074221,-210.32286014410644,-79.74879118626704,-81.85842941764051,-94.34979149274999,-184.34860214802302,-85.26608777623139,0.0,0.0,3.4526282368276635,0.09316342605113859
-3204.781283451737,24,34.159617,0.0,-686.5952943529801,-1177.7881536984542,-302.3537775278796,-128.78976229577134,-259.22647501292784,-108.47441124436851,-108.54844791584537,-125.50205474616992,-202.98278611532302,-104.52012054201737,0.0,0.033672186166384455,0.6716072753661582,1.4074496091000845
-3075.846707856956,24,35.238619,0.0,-631.8433434982821,-1073.5496124383997,-288.07492428584834,-132.57434781402932,-257.4271793581158,-114.37666425769856,-117.61212758453776,-133.24389767019312,-212.64642269679265,-114.49818825305881,0.0,0.0,1.4858119568609156,0.48782706926708436
-3005.290870627604,24,36.044632,0.0,-652.692882682906,-1137.2213124579766,-277.52626762958727,-106.67975618915722,-249.81693826040686,-87.45194996078872,-93.61858594409159,-110.15087215598251,-201.3893621237089,-88.74294322299852,20.886567024446094,0.13048977112372473,0.005041900267213739,4.2941966223965435
-2911.101071949168,24,36.837616,0.0,-597.2955390894246,-1009.6433489147131,-275.0231027133881,-130.47036926523043,-238.2827370500891,-112.18683124961,-114.3035741438216,-128.94482627590162,-194.08884942291724,-110.86189382407215,0.0,0.0,4.286322680421519,0.07002507365281405
-2288.0858344360563,24,37.65309,0.0,-473.77619884710674,-818.0803164789138,-210.83579941913328,-87.32433015664608,-200.95614868639404,-74.55784819545573,-80.09592732423219,-91.3929155908574,-176.04067555964838,-75.02567417766866,0.0,0.0,6.9874447293583515,0.7217957306199279
-2229.793927188874,24,41.71749,0.0,-446.9699785531166,-756.5204364538022,-207.8613997333721,-98.87016393491706,-190.49523571352142,-87.04284372310767,-88.74372085183462,-99.25740006631791,-163.74987568912638,-90.28287246975803,0.0,0.0,4.1261181308862875,0.055986017997335505
-2390.445664935599,24,42.487485,0.0,-363.151062837511,-546.3288159244088,-226.07644248586232,-159.27901962044228,-235.6342098611083,-153.46741052890087,-158.02604345967924,-163.84974119629678,-228.38094761432953,-156.2519714070598,0.0,0.0,11.575077046476455,2.667917326169866
-2455.098463254651,24,43.289154,0.0,-514.8416340223395,-887.470074806533,-227.26602147095,-95.36782826573518,-207.94979985976533,-80.6173971103251,-83.31474496292955,-95.91863817195886,-178.2518492500268,-84.1004753340876,0.0,0.0,8.676694637886651,1.135728246966139
-2770.480442635569,24,44.070878,0.0,-541.996976315951,-911.8651786066077,-257.95645667262323,-127.19848067318321,-242.89910194942652,-113.0680205110005,-120.4790367733174,-133.1646802055123,-207.56608417692078,-114.2864267510262,0,0,0,0
-3169.390304928671,24,44.856954,0.0,-662.2126579918998,-1130.5871676056177,-295.9200252155721,-132.0835985219557,-260.91072082834665,-112.11442543978573,-113.48523631941575,-130.4119437776499,-216.52422259973824,-115.14030662868956,0.0,0.0,6.333576261116529,0.536560364107354
-2677.9156549530767,24,45.630552,0.0,-538.6603828725682,-909.5966287382149,-250.5244815649359,-120.96679020931468,-225.36217589758678,-105.86785958640742,-113.72560675855976,-126.81584005258316,-184.46117927015078,-101.93471000275477,0.0,0.0,1.9537334842416612,0.2561076432353958
-2100.3819948226846,24,46.409431,0.0,-396.9717062277714,-655.0608614665005,-198.23382281285924,-107.06634929349964,-182.2285847823238,-96.64456351038784,-99.54370382232268,-108.04791798918383,-159.10730369453458,-97.47718122330103,0,0,0,0
-3006.443940393103,24,47.183816,0.0,-686.4125479088475,-1204.984840893936,-278.98697100306026,-98.00382798963633,-234.86769669375397,-76.67183866869848,-77.95054081595103,-95.44388709862602,-177.13455617544713,-75.98723314514606,0,0,0,0
-3498.662514482988,24,47.974454,0.0,-755.9304686540509,-1311.1759540912665,-324.8247423508757,-129.98676971342095,-288.839356669018,-107.42893970734475,-109.88609464406656,-129.21940604435483,-231.05293681321697,-110.31784579537367,0,0,0,0
-3100.477240166498,24,48.743951,0.0,-693.714888925944,-1222.183623823965,-285.063268198807,-99.24822932945474,-255.53028486666608,-78.28838211519708,-82.67891601064134,-100.68011603944075,-201.7571055842824,-81.33242527210028,0.0,0.0019884287950402424,1.228234886957274,0.40991164424431487
-3007.7395396045335,24,52.578645,0.0,-630.212686547407,-1079.4954509035324,-279.48356806765594,-122.46187786575233,-249.5870743249936,-104.52344248342412,-109.29124520175897,-124.75004691248195,-202.96361472715722,-104.97053257036981,0,0,0,0
-2847.9959743956865,24,53.381968,0.0,-612.2581763523019,-1078.0007438338305,-257.45338927165415,-90.50898491833706,-254.43094475296007,-74.27893808344328,-81.36003779807406,-97.15065534244418,-218.48990953578712,-84.0641945068537,0.0,0.011230517241767934,1.024512294642415,0.8093104285902276
-2339.6701763908777,24,54.167198,0.0,-470.6654965553496,-795.6340882939353,-218.78765282795365,-103.61943366421305,-198.64077117031312,-91.69502793311773,-95.52212221356343,-106.06773356599143,-168.350694118062,-90.68715604837841,0.0,0.0,7.091497139793658,0.6180204275166565
-2491.357683701849,24,54.942233,0.0,-513.7247393430221,-874.8907580363211,-233.83101075931808,-107.17422707279754,-207.90944907131592,-92.3548478918869,-91.57442272710367,-103.48409315708956,-175.04989490083594,-91.36424074215779,0.0,0.06214739187082019,0.17076420777907575,1.8852515819246107
-4127.7519715412045,24,55.73408,0.0,-953.9615037671541,-1687.2376185495862,-378.6811318864717,-123.94843146188866,-327.500849993264,-94.27004034961023,-94.47323162043007,-120.23406497301303,-250.6306913789543,-96.81440756083205,0.0,0.0,2.2485208950524838,0.09177623638056899
-2692.011758226605,24,56.495378,0.0,-590.6915055969744,-1033.5539404659683,-247.11387184296265,-91.90188208415456,-223.7764845753268,-75.24091188834981,-77.61158930933382,-92.45441678789858,-182.71241427702637,-76.95474139860968,0.0,0.0,2.1398709921950254,0.10313028445993536
-2764.439825767536,24,57.265122,0.0,-581.4268934735073,-1000.5953750121969,-255.35516193523932,-108.66308257799056,-231.33086313159836,-92.45287417423765,-95.72571164138637,-110.7772872078182,-193.03159088901293,-95.08098572454864,0.0,0.0012254588567841562,1.2555694460755054,0.43050017155557446
-2892.6538692667214,24,58.043398,0.0,-606.630109123277,-1035.1229050701754,-271.21115861346215,-122.2926100558575,-236.03294529814278,-104.63485071442847,-105.34137096895054,-119.78886060589775,-189.3135918495648,-102.28546696696507,0,0,0,0
-1676.4794413422342,24,58.816917,0.0,-312.00683976407606,-517.4380173249947,-156.8441522590218,-83.73945656800615,-150.57676788997364,-76.61651644422876,-80.22481950955327,-86.84903791360848,-134.8119461196075,-77.37188754916374,0,0,0,0
-1859.3385982963464,24,59.606138,0.0,-393.09593447882645,-681.1333850410423,-171.61247387835772,-70.26434648292603,-158.18849911118707,-59.56747549859419,-60.30631943817244,-69.32763364162452,-135.004010314272,-60.838520411343836,0.0,0.0,1.7406626927288245,0.36245110676052367
-2911.4171645612746,24,63.4651,0.0,-639.076303158226,-1110.2215876333555,-270.49881002314623,-107.6548162880776,-233.59793398380094,-88.56846833503907,-88.13673145045145,-103.7635600711795,-184.43921550539437,-85.45973811260403,0.0,0.011571762461086488,1.0363161975989872,0.874498088880117
-1711.242786476852,24,64.253978,0.0,-291.4687948167122,-461.93604771466295,-162.8035258339264,-102.20253254624726,-154.95824666565107,-97.16173869863593,-96.91225531717612,-102.53317648089664,-146.7200890931443,-94.54637930979929,0.0,0.0,2.6632008748497564,0.3475164479966256
-3460.442643628381,24,65.040995,0.0,-733.0561435473676,-1255.4603467110867,-323.57951380313045,-142.20989369458843,-281.4530545103667,-121.07065125518133,-122.88067779733511,-140.48652080693628,-224.05049318035466,-116.19534832203365,0,0,0,0
-2099.377522607618,24,65.822904,0.0,-400.9661791295019,-669.6988763539973,-197.12526407117727,-101.99755288381093,-184.8611933772955,-91.43677569271523,-92.78329777821347,-101.71945687529546,-168.8191524960977,-89.96977394951328,0.0,0.0,1.5622939622239855,0.5198350926556489
-2695.7186453545737,24,66.601978,0.0,-535.5266813669259,-897.36124572406,-253.36487772373312,-127.68903572471615,-227.31766277707862,-113.98673020636548,-109.1711826137051,-121.89999417591196,-198.2003715867608,-111.20086345531627,0.0,0.0,6.747593051341863,0.4508009684666853
-2125.278836044705,24,67.410725,0.0,-448.43353125782596,-774.7912824195951,-197.9352938237958,-84.30420338783198,-175.4541794842772,-71.52242367539336,-72.57512192068589,-83.47082408988864,-145.35998950129448,-71.43198648411632,0,0,0,0
-2488.344885637662,24,68.191238,0.0,-496.2690348967506,-833.8474938371979,-234.1367411018764,-117.21852220129192,-209.64275165054795,-104.32506347429927,-104.69501120963187,-115.49614840715945,-172.93542405985613,-99.7786947990504,0.0,0.0,3.7093660908188526,0.04565197193925676
-2968.2366182257547,24,68.987919,0.0,-577.7984700779854,-959.5662281310879,-280.84119480652356,-149.77205940204323,-248.86872083905226,-133.13805476569212,-130.06283519276676,-143.4560912933853,-214.29658127546995,-130.43638244174835,0.0,0.0,4.403171320952368,0.10554118161865331
-1736.5488541135455,24,69.872565,0.0,-284.8019838080718,-444.6901508411792,-164.62132087319293,-107.90290439303118,-161.53231172838088,-102.70638038386251,-104.61067848774792,-109.68305573995224,-151.58107823916254,-104.41898961896426,0,0,0,0
-3384.931903849561,24,70.954592,0.0,-700.1139550604343,-1195.8843426238222,-314.3171444387122,-141.2787103397415,-284.89202829617335,-121.7930321830068,-125.58914388597289,-142.9667328949456,-240.60751689451865,-117.48929723223337,0.0,0.06323505159641907,0.11508109667109934,2.3799146338910826
-2833.484748121165,24,75.360647,0.0,-565.8041574946776,-952.7874686392108,-265.57161145595705,-131.45072602972772,-241.7348871331805,-117.08009527249392,-117.70754491665132,-130.29111773263415,-198.45816877445972,-112.59897067217193,0.0,0.0,8.061292941433626,1.1632737124314758
-2371.9089308692737,24,76.279773,0.0,-475.89742955857326,-805.7518244593533,-222.23827600828977,-107.0139988053563,-202.82524637020663,-93.66237889585624,-93.07907724980875,-103.85217255419755,-176.20102644288482,-91.38750052474684,0,0,0,0
-1922.6522093095923,24,77.454201,0.0,-386.26626111598773,-660.7360356992359,-179.24744386373786,-82.01261337246554,-168.92317069428975,-71.19169384452547,-70.53162276287415,-79.64554105935505,-153.00481553541474,-71.09301136170592,0.0,0.0,3.2018175251435492,0.05169730671653758
-2844.6616491581576,24,78.250844,0.0,-535.1565987931857,-878.3871417191247,-269.29616656965584,-149.0372041045993,-248.3706909943224,-135.3942864184436,-136.5204812039911,-147.5715354954471,-214.83898349857537,-130.08856036081252,0,0,0,0
-2590.885693900338,24,79.057419,0.0,-513.1404527032568,-863.9009644856675,-242.62880622267073,-120.94223014523678,-220.8445661253004,-107.48172050634787,-107.43181732193503,-119.0346441660959,-193.3523362786719,-102.12815594515523,0.0,0.0,4.80003433108922,0.13905326004947727
-1606.5136001050917,24,79.910316,0.0,-260.86561235050453,-406.6626991618073,-152.78959050193782,-100.69535611600624,-151.88094950530513,-95.65169606644143,-97.52134255499278,-102.17252098970191,-144.09409327112982,-94.17973958726468,0.0,0.0,4.312884124452927,0.08657628669684017
