# {"t_start": 1612916405.7083907, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-1581.38257383679,24,9.52097,0.0,-273.1211682186532,-462.6401314506453,-205.5554983179639,-73.8041010842482,-154.7985950097786,-56.63534954730305,-42.573448642590705,-56.78312123684105,-198.56034331611556,-56.91081701265068,0.0,0.0,0.3311414835631312,0.06819588741121212
-1389.4001544910586,24,10.296243,0.0,-239.62375618955843,-407.3317286602844,-130.30038403970724,-50.743345764167586,-194.8210507218517,-51.00752860189972,-32.70848795460965,-52.54779201620968,-182.01620118599317,-48.299879356777275,0.0,3.915162832455125,0.0,0.9958011358463295
-1453.25015219989,24,11.056644,0.0,-245.25027619618695,-399.9332035239063,-188.12582774611377,-82.61749921823831,-156.0429576234956,-61.177700975901686,-48.431462273192494,-60.60824558236601,-151.26591354700147,-59.79706551348718,0.0,3.1137235532826955,0.0,0.22642730052291762
-1119.9811369556746,24,11.82248,0.0,-171.91638271598632,-300.5986901525994,-166.50243192798357,-50.484939255024784,-133.12580158723918,-32.4179317986519,-11.97699232457613,-32.48453648687138,-186.3582807793064,-34.11514992743553,0.0,0.0,0.6147189471100215,0.23414444340471952
-1518.4828922477802,24,12.583053,0.0,-282.090433880162,-501.9969342655839,-174.02329664684092,-54.7181072045431,-168.79195602382353,-40.94648561421397,-33.46956574669345,-59.11217969215505,-159.25605494848077,-44.07787822528373,0,0,0,0
-1370.3891613032802,24,13.38542,0.0,-239.81463595160383,-408.6304888443119,-195.65819871916898,-59.92323315169082,-151.17727648769375,-35.02357867856836,-21.234517114853208,-35.753434985318485,-181.74920236330098,-41.424595006769856,0.0,0.02499026435330265,0.0,0.31729074401305385
-1123.1303570952512,24,14.162625,0.0,-177.2235112101452,-286.43406407517114,-131.72007475564385,-64.83894294950734,-127.59915598601349,-50.431570348184884,-40.19247256923861,-48.84777490047912,-146.8391975389408,-49.0035927619267,0.0,1.0232346937569172,0.0,0.0863416548476154
-1847.001722575952,24,14.953543,0.0,-419.398155906789,-744.0794015942355,-221.2250181422204,-65.12762691276303,-141.3879725783172,-36.46999487632067,-28.00577199531445,-46.24161514394299,-114.88680734225092,-30.179358083798007,0.0,0.0,0.18119336146516862,0.18837731034362484
-1679.4483581681664,24,15.73316,0.0,-311.15759619104307,-549.8029001523525,-224.62277968449595,-70.58052012849589,-196.8530667633475,-39.32902280118793,-26.1423857991422,-55.35161840836522,-168.8916747497997,-36.716793489936414,0.0,0.0,7.148210783464819,1.3124283335441758
-1146.793984118822,24,16.534387,0.0,-210.0345515533664,-373.1633900345885,-160.20251364888057,-49.0247034870816,-145.99775818686925,-24.75984228727344,-12.498938550006008,-31.9205508602367,-118.02766720207846,-21.164068308441106,0.0,0.01352176315927811,0.11620190224662685,0.6885010917605544
-1266.6120690182172,24,23.72883,0.0,-184.19033023505003,-279.18871411558507,-155.05490457951126,-80.76974268776277,-150.516857270668,-73.13750914811588,-56.339190406406665,-64.53187833125601,-155.00074175425004,-67.88220048961128,0.0,0.0,0.024824701862739773,0.5428954556212101
-1036.0307697818357,24,24.519978,0.0,-173.29977744458134,-278.8821286421033,-134.6440558945871,-54.51899353152286,-120.49974762978681,-48.11063430140053,-26.82118373736747,-36.6662815827743,-124.6317113539379,-37.95625566377416,0.0,0.0,0.0,0.41635782642122876
-1443.5648016020289,24,25.30158,0.0,-277.49934203770164,-474.7714024063856,-153.14641134149173,-69.50440068241595,-138.41972894849746,-56.617142187450916,-43.86748745820156,-66.11975022894006,-118.80451445391817,-44.81462185702542,0.0,0.0,0.36744335329500866,0.11261203522326545
-1095.347630918137,24,26.068508,0.0,-176.11870160050134,-284.5596025992925,-149.1439919995835,-59.68942513638154,-132.21907675598746,-44.901618560312386,-27.673089510334794,-42.157914240168594,-137.0155515681544,-41.86865894742031,0.0,0.0,0.7066597919989064,0.3808395758508742
-1317.3064042169117,24,26.836089,0.0,-225.31398576940936,-362.25500839266493,-171.8032975453629,-82.2581275307282,-126.96788711482593,-57.954892426492854,-48.1650493570517,-64.7173545587683,-123.87050827154395,-54.000293250063585,0.0,0.0,0.355010346538598,0.2503790338641584
-1422.2731548446086,24,27.591724,0.0,-275.1848969379393,-474.1254982406584,-194.6361575354613,-66.64509450501357,-135.8479667606481,-46.96499234545918,-31.35139802126714,-59.069796309800225,-102.60500839171524,-35.842345796646,0.0,0.0,1.90602635745104,0.5860599707046903
-1596.2336277428758,24,28.37355,0.0,-276.33275180409385,-446.23186165685604,-227.13767995457948,-101.56238530729424,-157.25325997322153,-68.91433601686083,-53.109276520302856,-73.37614957547288,-135.35231259796495,-56.96361433622912,0,0,0,0
-1304.3018442798727,24,29.164399,0.0,-241.76948713376277,-423.9412073254696,-155.02433842373645,-43.10301743746444,-153.82998897536024,-40.244645206518435,-23.65804697653535,-39.9153940619495,-147.63494307286308,-35.18077566621293,0.0,0.0,3.2589955447907233,1.6486453624773234
-1111.8951689204716,24,29.967672,0.0,-211.40191669376125,-360.82860999051746,-127.08744711161413,-45.776837327226104,-116.83477304419472,-31.750749753751137,-21.07469479241123,-35.46518168292672,-131.80588012490784,-29.869078399161065,0.0,0.0,1.3394344439780266,0.5313852676656275
-1594.7886318680687,24,30.752041,0.0,-338.3466559413913,-596.1396786923868,-205.52502050466816,-64.1619656845643,-158.95590310445903,-33.23063207948489,-25.429561764641363,-48.41747882523655,-96.47798096121053,-28.103754310025593,0.0,0.7961281934015092,0.0,0.18543714386443166
-1636.189359977257,24,31.96173,0.0,-283.0840271602147,-472.84583925939484,-201.32974773868426,-82.46290960899141,-194.32670424923913,-58.47553697171776,-42.58221889189237,-60.606244372640276,-185.26423063169756,-55.21190109278507,0.0,0.0,2.376495129347517,0.24991885457417837
-1564.1499439033018,24,32.750923,0.0,-306.95127636225004,-533.2095139450756,-170.412161624361,-64.37232953832948,-146.16118137777315,-47.05356193240057,-32.950673246012784,-54.6810209429361,-166.21595668564672,-42.14226824851638,0.0,0.0,0.0,0.18338551922493257
-1131.111639515485,24,33.534187,0.0,-179.86746492495487,-292.23834632951093,-125.71775085747907,-74.16067370957835,-109.66840381612789,-62.872453371396695,-48.84566191506992,-60.822199965118195,-122.36563424037637,-54.553050385872766,0.0,0.0,0.07087074187147113,0.3200758052621098
-1435.0755590942372,24,34.319786,0.0,-241.5513025038481,-413.849220427417,-166.29506939452767,-78.09598779268688,-159.12237704365464,-54.15552301869192,-42.91512319875025,-61.67163628977981,-164.20944268564926,-53.20987673923171,0.0,0.16592970472944013,0.0,0.9055074708372569
-1793.3352336400496,24,35.106611,0.0,-310.7676405224274,-511.21666736435327,-238.22153268144254,-118.61493689210545,-159.61338650936534,-84.889245145105,-71.90446942617507,-86.57953023157759,-137.60746158869247,-73.92036327880543,0.0,0.0,0.8778021331037597,0.12291008237739381
-1307.0724540290205,24,35.869676,0.0,-239.12392359743745,-419.6409128876525,-189.2760683458029,-60.781689389840516,-162.96063561551503,-25.098377834777033,-14.45268099849981,-36.68403449336634,-133.94777250792643,-25.10635835820238,0.0,0.0,1.0696990652184455,0.19422266072658884
-1199.7124378286985,24,36.635198,0.0,-220.8003695576583,-378.9406840514457,-133.3988303066591,-67.8964418670912,-123.32260364972137,-50.128973717035144,-39.94048681735079,-58.19281612252257,-85.96153163670422,-41.12970010251028,0.0,4.7341403459747955,0.0,0.3952901408616049
-1197.9571558038951,24,37.42196,0.0,-209.45595581833362,-356.98953077421066,-218.01724005600622,-71.05677189627006,-117.6607480076529,-22.173619151528676,-10.539615026901522,-21.61137829055443,-145.94051690192424,-24.511779880512634,0.0,0.0,1.4400706191881958,0.1044559890452462
-1281.0709853881651,24,38.212819,0.0,-231.50372419470756,-396.0565046303055,-189.8269255295298,-59.26885110073657,-154.07998168996835,-28.831636762185592,-12.375631562943694,-26.425391292722505,-155.5830033965288,-27.119335228536734,0.0,0.0,0.6724883824705934,0.08192931484738503
-1160.3556437597713,24,38.99015,0.0,-219.82226816040085,-399.59712761122165,-131.91510997516585,-39.457236489536356,-156.46544103074714,-21.423773399802087,-11.695076135726227,-34.78450002210453,-124.34076584105324,-20.85434509401331,0.0,0.0,1.6744077462285185,0.340403857336938
-1228.0057009133534,24,40.199849,0.0,-232.00018900166503,-392.06372707830104,-202.2677455900835,-78.92208298101177,-106.16854954435414,-36.81114788765695,-30.552980586684043,-48.56413319579632,-70.00422920392339,-30.650915843877407,0.0,0.0,0.0,0.22949960740628528
-1531.1526513616031,24,40.977541,0.0,-265.7034281310852,-482.08148616025863,-160.65918956914007,-52.27666197773416,-236.46195084612185,-28.86495420814847,-13.174170139270576,-38.62889258140037,-220.69478880940676,-32.60712893903691,0.0,0.0,3.2687743749326663,1.9553855112747678
-1724.8873245037043,24,41.770643,0.0,-331.5488037815555,-582.5048308736092,-212.95176589858283,-68.51261442659458,-179.7189867751917,-40.94350042665549,-25.090621493898887,-45.47077294218569,-196.74624929307348,-41.39917859235707,0.0,0.0,0.5245933988050643,0.2590103545473371
-1251.739608802302,24,42.559772,0.0,-218.53915938081323,-368.15406088976505,-155.73016966259053,-63.5300780874658,-143.67751647994172,-47.06145893661836,-29.165269098061902,-50.56569713848273,-134.11987039668642,-41.196328731876285,0.0,0.0,3.026444291045269,0.21545510544339583
-1333.6999688333822,24,43.331087,0.0,-281.50674849759355,-500.31308940390454,-148.0137494148819,-49.89521974891756,-111.5493346607979,-32.67877304298946,-23.462396465076857,-39.136667543420494,-117.7760036623993,-29.367986393400432,0.0,3.2539123109598,0.0,0.18749184394319987
