# {"t_start": 1612921549.778391, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-2170.2568842178334,24,7.721923,0.0,-217.02568842178334,-217.02568842178334,-217.02568842178334,-217.02568842178334,-217.02568842178334,-217.02568842178334,-217.02568842178334,-217.02568842178334,-217.02568842178334,-217.02568842178334,0.0,4.650451889630113,0.0,2.8109856898690775
-3166.3113260534587,24,8.469968,0.0,-316.63113260534584,-316.63113260534584,-316.63113260534584,-316.63113260534584,-316.63113260534584,-316.63113260534584,-316.63113260534584,-316.63113260534584,-316.63113260534584,-316.63113260534584,0,0,0,0
-1996.0124216576066,24,9.24765,0.0,-199.60124216576068,-199.60124216576068,-199.60124216576068,-199.60124216576068,-199.60124216576068,-199.60124216576068,-199.60124216576068,-199.60124216576068,-199.60124216576068,-199.60124216576068,0.0,0.0,0.27403797598812274,0.058462098934364756
-3771.0051322001814,24,10.03834,0.0,-377.1005132200182,-377.1005132200182,-377.1005132200182,-377.1005132200182,-377.1005132200182,-377.1005132200182,-377.1005132200182,-377.1005132200182,-377.1005132200182,-377.1005132200182,0.0,0.0,0.3694997243873024,0.8666164036745172
-3740.792431467875,24,10.846343,0.0,-374.07924314678746,-374.07924314678746,-374.07924314678746,-374.07924314678746,-374.07924314678746,-374.07924314678746,-374.07924314678746,-374.07924314678746,-374.07924314678746,-374.07924314678746,0.0,4.970973139744938,0.0,2.3921356451605065
-3682.428862419657,24,11.62132,0.0,-368.2428862419657,-368.2428862419657,-368.2428862419657,-368.2428862419657,-368.2428862419657,-368.2428862419657,-368.2428862419657,-368.2428862419657,-368.2428862419657,-368.2428862419657,0,0,0,0
-3491.65147089509,24,12.423204,0.0,-349.165147089509,-349.165147089509,-349.165147089509,-349.165147089509,-349.165147089509,-349.165147089509,-349.165147089509,-349.165147089509,-349.165147089509,-349.165147089509,0.0,1.1993391406958411,0.0,0.13488463258989236
-3409.252669002063,24,13.231526,0.0,-340.92526690020634,-340.92526690020634,-340.92526690020634,-340.92526690020634,-340.92526690020634,-340.92526690020634,-340.92526690020634,-340.92526690020634,-340.92526690020634,-340.92526690020634,0.0,4.183831338928799,0.0,0.9702254532032688
-2615.0941243451607,24,14.008159,0.0,-261.5094124345161,-261.5094124345161,-261.5094124345161,-261.5094124345161,-261.5094124345161,-261.5094124345161,-261.5094124345161,-261.5094124345161,-261.5094124345161,-261.5094124345161,0.0,0.0,1.0511734442980794,0.33462061621652384
-2108.1357234084435,24,14.827359,0.0,-210.81357234084433,-210.81357234084433,-210.81357234084433,-210.81357234084433,-210.81357234084433,-210.81357234084433,-210.81357234084433,-210.81357234084433,-210.81357234084433,-210.81357234084433,0.0,0.0,0.46508431746730483,0.20963369600809484
