# {"t_start": 1612921549.8897183, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-2510.8554891471463,24,7.605293,0.0,-251.08554891471462,-251.08554891471462,-251.08554891471462,-251.08554891471462,-251.08554891471462,-251.08554891471462,-251.08554891471462,-251.08554891471462,-251.08554891471462,-251.08554891471462,0.0,0.0,0.0,0.08215230156170004
-4097.824339898117,24,8.362912,0.0,-409.7824339898117,-409.7824339898117,-409.7824339898117,-409.7824339898117,-409.7824339898117,-409.7824339898117,-409.7824339898117,-409.7824339898117,-409.7824339898117,-409.7824339898117,0,0,0,0
-2617.160540671571,24,9.136311,0.0,-261.71605406715713,-261.71605406715713,-261.71605406715713,-261.71605406715713,-261.71605406715713,-261.71605406715713,-261.71605406715713,-261.71605406715713,-261.71605406715713,-261.71605406715713,0.0,3.4445747710166077,0.0,0.26637675429029634
-2850.499036237932,24,9.937846,0.0,-285.04990362379317,-285.04990362379317,-285.04990362379317,-285.04990362379317,-285.04990362379317,-285.04990362379317,-285.04990362379317,-285.04990362379317,-285.04990362379317,-285.04990362379317,0.0,0.0,1.6817544127280835,0.045407495867018935
-2014.5468216503805,24,10.729974,0.0,-201.45468216503804,-201.45468216503804,-201.45468216503804,-201.45468216503804,-201.45468216503804,-201.45468216503804,-201.45468216503804,-201.45468216503804,-201.45468216503804,-201.45468216503804,0,0,0,0
-3417.9029782718126,24,11.510155,0.0,-341.79029782718123,-341.79029782718123,-341.79029782718123,-341.79029782718123,-341.79029782718123,-341.79029782718123,-341.79029782718123,-341.79029782718123,-341.79029782718123,-341.79029782718123,0.0,0.0,4.876956266037453,1.292689737363439
-2773.5639772474024,24,12.311328,0.0,-277.3563977247402,-277.3563977247402,-277.3563977247402,-277.3563977247402,-277.3563977247402,-277.3563977247402,-277.3563977247402,-277.3563977247402,-277.3563977247402,-277.3563977247402,0.0,0.0,6.65665479718031,2.7378519332394053
-3596.168981184778,24,13.123114,0.0,-359.6168981184778,-359.6168981184778,-359.6168981184778,-359.6168981184778,-359.6168981184778,-359.6168981184778,-359.6168981184778,-359.6168981184778,-359.6168981184778,-359.6168981184778,0.0,0.0,2.8283262875946873,0.8877686498919676
-3348.1309797165422,24,13.898249,0.0,-334.8130979716542,-334.8130979716542,-334.8130979716542,-334.8130979716542,-334.8130979716542,-334.8130979716542,-334.8130979716542,-334.8130979716542,-334.8130979716542,-334.8130979716542,0.0,0.019488041605744355,0.06755977500918642,1.0426361813944027
-2822.350479237967,24,14.715018,0.0,-282.23504792379674,-282.23504792379674,-282.23504792379674,-282.23504792379674,-282.23504792379674,-282.23504792379674,-282.23504792379674,-282.23504792379674,-282.23504792379674,-282.23504792379674,0.0,0.0,1.0328353451227898,0.10920183970445224
