# {"t_start": 1612921549.9114163, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-2386.8762669171824,24,7.587586,0.0,-238.6876266917182,-238.6876266917182,-238.6876266917182,-238.6876266917182,-238.6876266917182,-238.6876266917182,-238.6876266917182,-238.6876266917182,-238.6876266917182,-238.6876266917182,0.0,0.0,0.006578038347986759,0.2916637622157326
-3034.659056826908,24,8.334176,0.0,-303.4659056826908,-303.4659056826908,-303.4659056826908,-303.4659056826908,-303.4659056826908,-303.4659056826908,-303.4659056826908,-303.4659056826908,-303.4659056826908,-303.4659056826908,0,0,0,0
-4472.007069160593,24,9.115741,0.0,-447.20070691605935,-447.20070691605935,-447.20070691605935,-447.20070691605935,-447.20070691605935,-447.20070691605935,-447.20070691605935,-447.20070691605935,-447.20070691605935,-447.20070691605935,0.0,0.0,6.12419589111804,0.4720120768518601
-4320.116308540839,24,9.910194,0.0,-432.0116308540839,-432.0116308540839,-432.0116308540839,-432.0116308540839,-432.0116308540839,-432.0116308540839,-432.0116308540839,-432.0116308540839,-432.0116308540839,-432.0116308540839,0.0,0.0,7.72693545089058,3.494073583750749
-1958.6717367334695,24,10.712675,0.0,-195.86717367334694,-195.86717367334694,-195.86717367334694,-195.86717367334694,-195.86717367334694,-195.86717367334694,-195.86717367334694,-195.86717367334694,-195.86717367334694,-195.86717367334694,0.0,0.0,4.203035135704391,0.939833447229118
-3555.3794065881507,24,11.49137,0.0,-355.5379406588151,-355.5379406588151,-355.5379406588151,-355.5379406588151,-355.5379406588151,-355.5379406588151,-355.5379406588151,-355.5379406588151,-355.5379406588151,-355.5379406588151,0.0,0.0,2.121853886246535,1.1426646333061792
-4866.632336632958,24,12.288962,0.0,-486.6632336632958,-486.6632336632958,-486.6632336632958,-486.6632336632958,-486.6632336632958,-486.6632336632958,-486.6632336632958,-486.6632336632958,-486.6632336632958,-486.6632336632958,0.0,0.07375965516290983,0.016101999629561048,2.134926458581808
-3988.4321575359804,24,13.097807,0.0,-398.84321575359803,-398.84321575359803,-398.84321575359803,-398.84321575359803,-398.84321575359803,-398.84321575359803,-398.84321575359803,-398.84321575359803,-398.84321575359803,-398.84321575359803,0,0,0,0
-3922.6896800874933,24,13.879109,0.0,-392.26896800874937,-392.26896800874937,-392.26896800874937,-392.26896800874937,-392.26896800874937,-392.26896800874937,-392.26896800874937,-392.26896800874937,-392.26896800874937,-392.26896800874937,0,0,0,0
-2590.4372332211606,24,14.693321,0.0,-259.0437233221161,-259.0437233221161,-259.0437233221161,-259.0437233221161,-259.0437233221161,-259.0437233221161,-259.0437233221161,-259.0437233221161,-259.0437233221161,-259.0437233221161,0.0,0.0,2.360215009926801,0.08843930310675838
